generating_model,attribution_method,image_id,judging_model,fill_strategy,occlusion_level,is_correct
vit_b_16,integrated_gradients,image_00000,resnet18,gray,40,1
vit_b_16,integrated_gradients,image_00000,resnet18,gray,45,1
vit_b_16,integrated_gradients,image_00000,resnet18,gray,50,1
vit_b_16,integrated_gradients,image_00000,resnet18,gray,55,1
vit_b_16,integrated_gradients,image_00000,resnet18,gray,60,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,65,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,70,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,75,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,80,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,85,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,90,0
vit_b_16,integrated_gradients,image_00000,resnet18,gray,95,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,5,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,10,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,15,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,20,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,25,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,30,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,35,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,40,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,45,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,50,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,55,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,60,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,65,1
vit_b_16,integrated_gradients,image_00000,resnet18,blur,70,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,75,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,80,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,85,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,90,0
vit_b_16,integrated_gradients,image_00000,resnet18,blur,95,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,5,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,10,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,15,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,20,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,25,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,30,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,35,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,40,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,45,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,50,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,55,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,60,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,65,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,70,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,75,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,80,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,85,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,90,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,gray,95,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,5,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,10,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,15,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,20,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,25,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,30,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,35,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,40,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,45,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,50,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,55,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,60,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,65,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,70,1
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,75,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,80,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,85,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,90,0
vit_b_16,integrated_gradients,image_00000,mobilenet_v2,blur,95,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,5,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,10,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,15,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,20,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,25,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,30,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,35,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,40,1
vit_b_16,integrated_gradients,image_00001,resnet18,gray,45,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,50,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,55,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,60,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,65,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,70,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,75,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,80,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,85,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,90,0
vit_b_16,integrated_gradients,image_00001,resnet18,gray,95,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,5,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,10,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,15,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,20,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,25,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,30,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,35,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,40,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,45,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,50,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,55,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,60,1
vit_b_16,integrated_gradients,image_00001,resnet18,blur,65,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,70,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,75,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,80,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,85,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,90,0
vit_b_16,integrated_gradients,image_00001,resnet18,blur,95,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,5,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,10,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,15,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,20,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,25,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,30,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,35,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,40,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,45,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,50,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,55,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,60,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,65,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,70,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,75,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,80,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,85,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,90,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,gray,95,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,5,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,10,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,15,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,20,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,25,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,30,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,35,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,40,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,45,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,50,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,55,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,60,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,65,1
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,70,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,75,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,80,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,85,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,90,0
vit_b_16,integrated_gradients,image_00001,mobilenet_v2,blur,95,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,5,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,10,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,15,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,20,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,25,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,30,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,35,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,40,1
vit_b_16,integrated_gradients,image_00002,resnet18,gray,45,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,50,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,55,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,60,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,65,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,70,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,75,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,80,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,85,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,90,0
vit_b_16,integrated_gradients,image_00002,resnet18,gray,95,0
vit_b_16,integrated_gradients,image_00002,resnet18,blur,5,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,10,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,15,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,20,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,25,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,30,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,35,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,40,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,45,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,50,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,55,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,60,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,65,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,70,1
vit_b_16,integrated_gradients,image_00002,resnet18,blur,75,0
vit_b_16,integrated_gradients,image_00002,resnet18,blur,80,0
vit_b_16,integrated_gradients,image_00002,resnet18,blur,85,0
vit_b_16,integrated_gradients,image_00002,resnet18,blur,90,0
vit_b_16,integrated_gradients,image_00002,resnet18,blur,95,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,5,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,10,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,15,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,20,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,25,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,30,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,35,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,40,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,45,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,50,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,55,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,60,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,65,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,70,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,75,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,80,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,85,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,90,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,gray,95,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,5,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,10,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,15,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,20,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,25,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,30,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,35,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,40,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,45,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,50,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,55,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,60,1
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,65,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,70,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,75,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,80,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,85,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,90,0
vit_b_16,integrated_gradients,image_00002,mobilenet_v2,blur,95,0
vit_b_16,saliency,image_00000,resnet18,gray,5,1
vit_b_16,saliency,image_00000,resnet18,gray,10,1
vit_b_16,saliency,image_00000,resnet18,gray,15,0
vit_b_16,saliency,image_00000,resnet18,gray,20,0
vit_b_16,saliency,image_00000,resnet18,gray,25,0
vit_b_16,saliency,image_00000,resnet18,gray,30,0
vit_b_16,saliency,image_00000,resnet18,gray,35,0
vit_b_16,saliency,image_00000,resnet18,gray,40,0
vit_b_16,saliency,image_00000,resnet18,gray,45,0
vit_b_16,saliency,image_00000,resnet18,gray,50,0
vit_b_16,saliency,image_00000,resnet18,gray,55,0
vit_b_16,saliency,image_00000,resnet18,gray,60,0
vit_b_16,saliency,image_00000,resnet18,gray,65,0
vit_b_16,saliency,image_00000,resnet18,gray,70,0
vit_b_16,saliency,image_00000,resnet18,gray,75,0
vit_b_16,saliency,image_00000,resnet18,gray,80,0
vit_b_16,saliency,image_00000,resnet18,gray,85,0
vit_b_16,saliency,image_00000,resnet18,gray,90,0
vit_b_16,saliency,image_00000,resnet18,gray,95,0
vit_b_16,saliency,image_00000,resnet18,blur,5,1
vit_b_16,saliency,image_00000,resnet18,blur,10,1
vit_b_16,saliency,image_00000,resnet18,blur,15,1
vit_b_16,saliency,image_00000,resnet18,blur,20,0
vit_b_16,saliency,image_00000,resnet18,blur,25,0
vit_b_16,saliency,image_00000,resnet18,blur,30,0
vit_b_16,saliency,image_00000,resnet18,blur,35,0
vit_b_16,saliency,image_00000,resnet18,blur,40,0
vit_b_16,saliency,image_00000,resnet18,blur,45,0
vit_b_16,saliency,image_00000,resnet18,blur,50,0
vit_b_16,saliency,image_00000,resnet18,blur,55,0
vit_b_16,saliency,image_00000,resnet18,blur,60,0
vit_b_16,saliency,image_00000,resnet18,blur,65,0
vit_b_16,saliency,image_00000,resnet18,blur,70,0
vit_b_16,saliency,image_00000,resnet18,blur,75,0
vit_b_16,saliency,image_00000,resnet18,blur,80,0
vit_b_16,saliency,image_00000,resnet18,blur,85,0
vit_b_16,saliency,image_00000,resnet18,blur,90,0
vit_b_16,saliency,image_00000,resnet18,blur,95,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,5,1
vit_b_16,saliency,image_00000,mobilenet_v2,gray,10,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,15,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,20,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,25,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,30,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,35,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,40,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,45,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,50,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,55,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,60,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,65,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,70,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,75,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,80,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,85,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,90,0
vit_b_16,saliency,image_00000,mobilenet_v2,gray,95,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,5,1
vit_b_16,saliency,image_00000,mobilenet_v2,blur,10,1
vit_b_16,saliency,image_00000,mobilenet_v2,blur,15,1
vit_b_16,saliency,image_00000,mobilenet_v2,blur,20,1
vit_b_16,saliency,image_00000,mobilenet_v2,blur,25,1
vit_b_16,saliency,image_00000,mobilenet_v2,blur,30,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,35,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,40,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,45,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,50,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,55,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,60,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,65,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,70,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,75,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,80,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,85,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,90,0
vit_b_16,saliency,image_00000,mobilenet_v2,blur,95,0
vit_b_16,saliency,image_00001,resnet18,gray,5,1
vit_b_16,saliency,image_00001,resnet18,gray,10,1
vit_b_16,saliency,image_00001,resnet18,gray,15,1
vit_b_16,saliency,image_00001,resnet18,gray,20,1
vit_b_16,saliency,image_00001,resnet18,gray,25,1
vit_b_16,saliency,image_00001,resnet18,gray,30,1
vit_b_16,saliency,image_00001,resnet18,gray,35,1
vit_b_16,saliency,image_00001,resnet18,gray,40,0
vit_b_16,saliency,image_00001,resnet18,gray,45,0
vit_b_16,saliency,image_00001,resnet18,gray,50,0
vit_b_16,saliency,image_00001,resnet18,gray,55,0
vit_b_16,saliency,image_00001,resnet18,gray,60,0
vit_b_16,saliency,image_00001,resnet18,gray,65,0
vit_b_16,saliency,image_00001,resnet18,gray,70,0
vit_b_16,saliency,image_00001,resnet18,gray,75,0
